uni_cod,facolta,materia_ssd_cod,materia_nome,insegnamento_prof,insegnamento_prof_www,prof_id,insegnamento_id,email,indirizzo,citta,telefono,note,isbn,titolo,data
uniss,,BIO/03,ECOFISIOLOGIA E BOTANICA FORESTALE,Brundu Giuseppe Antonio Domenic,https://uniss.coursecatalogue.cineca.it/docente/1261/2024,85919,1151827,,,,,,,,
uniss,,BIO/02,BOTANICA SISTEMATICA,Bagella Simonetta,https://uniss.coursecatalogue.cineca.it/docente/626/2024,85936,1153495,,,,,,,,
uniss,,BIO/03,BIOLOGIA VEGETALE,Fois Mauro,https://uniss.coursecatalogue.cineca.it/docente/5113/2022,86380,929202,,,,,,,,
uniss,,BIO/02,BOTANICA SISTEMATICA,Urbani Malvina,https://uniss.coursecatalogue.cineca.it/docente/3138/2022,86381,929328,,,,,,,,
uniss,,BIO/03,ECOLOGIA VEGETALE,Farris Emmanuele,https://uniss.coursecatalogue.cineca.it/docente/146/2024,86407,1153502,,,,,,,,
uniss,,BIO/03,ECOLOGIA SPAZIALE CON APPLICAZIONI GIS,Malavasi Marco,https://uniss.coursecatalogue.cineca.it/docente/5180/2024,86411,1153460,,,,,,,,
uninsubria,,BIO/03,BOTANICA AMBIENTALE,Di Iorio Antonino,https://uninsubria.coursecatalogue.cineca.it/docente/35415/2024,86677,1216739,,,,,,,,
uninsubria,,BIO/03,BIOLOGIA VEGETALE,Montagnoli Antonio,https://uninsubria.coursecatalogue.cineca.it/docente/36163/2024,86684,1214959,,,,,,,,
uninsubria,,BIO/02,DIVERSITA' BIOLOGICA E TASSONOMIA DEI VEGETALI,Cannone Nicoletta,https://uninsubria.coursecatalogue.cineca.it/docente/35898/2024,87116,1216746,,,,,,,,
uninsubria,,BIO/03,ECOLOGIA VEGETALE APPLICATA,Cerabolini Bruno Enrico Leone,https://uninsubria.coursecatalogue.cineca.it/docente/151/2024,87120,1216632,,,,,,,,
uninsubria,,BIO/02,ADATTAMENTO E MITIGAZIONE AL CAMBIAMENTO CLIMATICO,Malfasi Francesco,https://uninsubria.coursecatalogue.cineca.it/docente/37814/2023,87980,939489,,,,,,,,
uniroma1,,BIO/02,BOTANICA SISTEMATICA,Cristiano Vignola,https://www.uniroma1.it/user/25239,88558,1145704,,,,,,,,
uniroma1,,BIO/01,BIODIVERSITA' E VALORIZZAZIONE DELLE PIANTE,Marco Possenti,https://www.uniroma1.it/user/45393,88560,1145776,,,,,,,,
uniroma1,,BIO/03,ELEMENTI DI CHIMICA ED ECOLOGIA,Matteo Renzi,https://corsidilaurea.uniroma1.it/user/44818,88712,825173,,,,,,,,
unifi,,BIO/02,STRATEGIE RIPRODUTTIVE E EVOLUZIONE DELLE PIANTE,Bianchi  Elisabetta,https://www.unifi.it/p-doc2-2023-0-A-2c323c32342c-0.html,88791,805816,,,,,,,,
unisi,,BIO/02,DIVERSITA' VEGETALE,Bonari Gianmaria,https://www.unisi.it/ugov/person/12009,89032,1005661,,,,,,,,
